key,scale,confidence,key_raw,hpcp_key,hpcp_confidence,chromagram,processing_time,error,filename,detector,actual_key,exact_match,tonic_match,is_relative,is_parallel,chroma_stft,chroma_cens
A minor,minor,0.9356454610824585,A,D major,0.8370489478111267,"[0.6385715007781982, 0.11860565841197968, 0.22350724041461945, 0.3219129741191864, 0.22052200138568878, 0.48361098766326904, 0.22110982239246368, 0.46909138560295105, 0.21165326237678528, 0.2671687602996826, 0.24674002826213837, 0.17279236018657684]",0.33136415481567383,,electronic_130bpm_Am_dark.mp3,Essentia_KeyExtractor,Am,False,False,False,False,,
Eb major,major,0.8049905425985217,Eb,,,"[0.2321796715259552, 0.1935141235589981, 0.4735482633113861, 0.18812870979309082, 0.46079137921333313, 0.1962059587240219, 0.12674687802791595, 0.1858355700969696, 0.15331217646598816, 0.6394688487052917, 0.13361263275146484, 0.139328733086586]",2.5670149326324463,,electronic_130bpm_Am_dark.mp3,Librosa_Chroma,Am,False,False,False,False,"[0.1160712018609047, 0.16838335990905762, 0.30103546380996704, 0.30592676997184753, 0.36364880204200745, 0.2373993992805481, 0.0702279731631279, 0.1076851636171341, 0.21212774515151978, 0.5995376706123352, 0.29164230823516846, 0.13115833699703217]","[0.23730407655239105, 0.18256674706935883, 0.4230669438838959, 0.16222965717315674, 0.42070096731185913, 0.15807455778121948, 0.03144209459424019, 0.14126457273960114, 0.09934738278388977, 0.5451722145080566, 0.07060813903808594, 0.09650090336799622]"
C major,major,0.9323442578315735,C,F major,0.8240696787834167,"[0.21322543919086456, 0.10761985927820206, 0.2319488823413849, 0.6327771544456482, 0.2364809662103653, 0.3026445806026459, 0.20594720542430878, 0.3083134889602661, 0.38912534713745117, 0.2519078254699707, 0.4534994661808014, 0.1576637327671051]",0.11707091331481934,,test_128bpm_C_format.mp3,Essentia_KeyExtractor,C,False,True,False,False,,
C major,major,0.8796443365800275,C,,,"[0.7335541844367981, 0.23909400403499603, 0.1985265463590622, 0.12405165284872055, 0.22434860467910767, 0.4199112057685852, 0.15916049480438232, 0.4440215826034546, 0.1169072687625885, 0.15313422679901123, 0.11318808048963547, 0.23018130660057068]",0.4784047603607178,,test_128bpm_C_format.mp3,Librosa_Chroma,C,False,True,False,False,"[0.5382647514343262, 0.33126676082611084, 0.15708208084106445, 0.07807715982198715, 0.21249307692050934, 0.3560204803943634, 0.2646559178829193, 0.4152752161026001, 0.19631977379322052, 0.12968425452709198, 0.10883286595344543, 0.3172014057636261]","[0.6375105977058411, 0.24250906705856323, 0.1620751917362213, 0.022636132314801216, 0.20606692135334015, 0.32287684082984924, 0.10426915436983109, 0.4038769006729126, 0.03340234234929085, 0.09535051882266998, 0.01532753650099039, 0.22705630958080292]"
A minor,minor,0.9433924555778503,A,D major,0.8107450604438782,"[0.6209771037101746, 0.12105481326580048, 0.24410811066627502, 0.2962305545806885, 0.23297420144081116, 0.4490695893764496, 0.21475791931152344, 0.5217658281326294, 0.21375219523906708, 0.21581454575061798, 0.2668319642543793, 0.18930384516716003]",0.3243129253387451,,electronic_128bpm_Am_constant.mp3,Essentia_KeyExtractor,Am,False,False,False,False,,
Eb major,major,0.8039703534779299,Eb,,,"[0.25413718819618225, 0.21670983731746674, 0.48217883706092834, 0.2039056271314621, 0.46608713269233704, 0.2030857354402542, 0.12563560903072357, 0.17970679700374603, 0.16788609325885773, 0.6517761945724487, 0.15861551463603973, 0.15168307721614838]",1.3699910640716553,,electronic_128bpm_Am_constant.mp3,Librosa_Chroma,Am,False,False,False,False,"[0.12462905794382095, 0.18291546404361725, 0.2964116930961609, 0.3063693940639496, 0.38035106658935547, 0.23989304900169373, 0.06153031438589096, 0.08424977958202362, 0.20932894945144653, 0.6186875700950623, 0.2957771122455597, 0.11396416276693344]","[0.2609027624130249, 0.21497681736946106, 0.43394067883491516, 0.1847037822008133, 0.40516912937164307, 0.16058795154094696, 0.026502598077058792, 0.12677684426307678, 0.10981401801109314, 0.5451223254203796, 0.09686044603586197, 0.08894762396812439]"
C major,major,0.5544885993003845,C,B minor,0.6903678774833679,"[0.10625939071178436, 0.11592049151659012, 0.1317782998085022, 0.05205396190285683, 0.05595812201499939, 0.0567135252058506, 0.059000514447689056, 0.06739567965269089, 0.07763049006462097, 0.9999752044677734, 0.09703432023525238, 0.09942393004894257]",0.3060622215270996,,jazz_110bpm_F_variable.mp3,Essentia_KeyExtractor,F,False,False,False,False,,
F# minor,minor,0.573567062585843,F#,,,"[0.0848190113902092, 0.08147067576646805, 0.08274926245212555, 0.08621404320001602, 0.08339159190654755, 0.0972214788198471, 1.0, 0.39210495352745056, 0.076865553855896, 0.07619956880807877, 0.07532209903001785, 0.07542160898447037]",1.4012260437011719,,jazz_110bpm_F_variable.mp3,Librosa_Chroma,F,False,False,False,False,"[0.10028330236673355, 0.4801020920276642, 0.07006631046533585, 0.0009949897648766637, 0.0016566242557018995, 0.14450564980506897, 0.9981748461723328, 0.13444127142429352, 0.0007601523539051414, 0.000409557978855446, 0.04479411616921425, 0.2952337861061096]","[0.03161599487066269, 0.028174612671136856, 0.026683295145630836, 0.033814724534749985, 0.03023769147694111, 0.046026088297367096, 0.8538650870323181, 0.5094133615493774, 0.021725069731473923, 0.017772307619452477, 0.019192781299352646, 0.021909495815634727]"
G major,major,0.9510901570320129,G,G major,0.8920512199401855,"[0.38997596502304077, 0.16762137413024902, 0.3960537016391754, 0.4129483103752136, 0.25394362211227417, 0.6472364068031311, 0.2512599527835846, 0.3277006447315216, 0.2464006543159485, 0.2958989143371582, 0.6433494687080383, 0.19773274660110474]",0.3272390365600586,,ambient_60bpm_G_constant.mp3,Essentia_KeyExtractor,G,False,True,False,False,,
F major,major,0.9915559178781304,F,,,"[0.3037916421890259, 0.03803258389234543, 0.48019224405288696, 0.05604313686490059, 0.16925488412380219, 0.024553190916776657, 0.13611383736133575, 0.6547375321388245, 0.04965003579854965, 0.20452891290187836, 0.027656570076942444, 0.37690797448158264]",1.419260025024414,,ambient_60bpm_G_constant.mp3,Librosa_Chroma,G,False,False,False,False,"[0.3432115614414215, 0.16983427107334137, 0.31822389364242554, 0.17684489488601685, 0.12919148802757263, 0.06665266305208206, 0.22750917077064514, 0.6024060845375061, 0.265421062707901, 0.29496002197265625, 0.14407384395599365, 0.4440661668777466]","[0.1942843496799469, 0.00882100872695446, 0.417449027299881, 0.010898374952375889, 0.13472555577754974, 0.002138371579349041, 0.12189362198114395, 0.48908162117004395, 0.004183810669928789, 0.171176478266716, 0.003957286477088928, 0.33744990825653076]"
